Open,Wind
Panel,Sully
Btn,Hop
OpenPanelBtn,WindSullyHop
Fly,Oil
Start,Skill
FlyStart,OilSkill
End,Way
FlyEnd,OilWay
Images,Accept
FlyImages,OilAccept
Money,Scant
Text,Plot
MoneyText,ScantPlot
Cash,Tire
CashText,TirePlot
Left,Fame
Time,Sign
LeftTimeText,FameSignPlot
Max,Rub
Fill,Shut
MaxMoneyFill,RubScantShut
Anim,Lady
MoneyTextAnim,ScantPlotLady
CashTextAnim,TirePlotLady
MaxMoneyFillAnim,RubScantShutLady
Login,Empty
Platform,Forecast
LoginPlatform,EmptyForecast
_LoginPlatform,_EmptyForecast
App,Bed
Info,Pain
AppInfo,BedPain
Withdraw,Daughter
WithdrawPlatform,DaughterForecast
Base,Hare
Url,Era
BaseUrl,HareEra
Account,Faculty
Data,Song
LeftTime,FameSign
Out,Sit
CashOutPanel,TireSitSully
_CashOutPanel,_TireSitSully
Enter,Speed
CashOutEnter,TireSitSpeed
_CashOutEnter,_TireSitSpeed
Ready,Grope
Min,Cab
Count,Knife
MinWithdrawCount,CabDaughterKnife
Event,Worst
Event_1304Time,Worst_1304Sign
Client,Dating
ClientIP,DatingIP
Real,Will
RealIP,WillIP
StartTime,SkillSign
User,Bush
UserID,BushID
Convert,Nuclear
ConvertTime,NuclearSign
Record,Mosaic
Task,Open
TaskData,OpenSong
code,Wear
msg,Gut
platform,Endanger
bundle,Emblem
id,An
bundle_id,Emblem_An
uuid,Beef
device,Soothe
ad,No
device_ad_id,Soothe_No_An
lang,Beat
device_lang,Soothe_Beat
model,Flute
manufacturer,Considerable
screen,Thirty
size,Neck
screen_size,Thirty_Neck
pixel,Urban
screen_pixel,Thirty_Urban
data,Rent
nick,Tiny
name,Bell
nick_name,Tiny_Bell
avatar,Quasar
crt,Maw
time,Dung
crt_time,Maw_Dung
coin,Tide
cash,Dike
channel,Surpass
convert,Collide
convert_time,Collide_Dung
token,Krill
is,If
regist,Massif
is_regist,If_regIft
receiver,Wingspan
type,Bath
receiver_type,Wingspan_Bath
value,Reign
receiver_value,Wingspan_Reign
min,Big
amount,People
min_amount,Big_People
day,Oil
count,South
day_count,day_South
max,Yew
day_max_amount,Oil_Yew_People
status,Wither
timestamp,Piecework
signature,Glycoside
network,Toehold
zone,Rain
time_zone,Dung_Rain
events,Flashy
string,Sneeze
string_0,Sneeze_0
string_1,Sneeze_1
big,Aim
int,Gun
big_int_0,Aim_Gun_0
Close,Argon
CloseBtn,ArgonHop
Update,Normal
UpdateUI,NormalUI
Loading,Pacific
UpdateUI_Loading,NormalUI_Pacific
CashOutBtn,TireSitHop
CashOutBtn_Loading,TireSitHop_Pacific
CashOutBtn_Task,TireSitHop_Open
CashOutBtn_Task_Text,TireSitHop_Open_Plot
AccountText,FacultyPlot
IDText,IDPlot
MaxMoneyText,RubScantPlot
Des,Ppm
DesText,PpmPlot
InfoPanel,PainSully
InfoText,PainPlot
OpenBtn,WindHop
InfoPanel_OpenBtn,PainSully_WindHop
InfoPanel_CloseBtn,PainSully_ArgonHop
Contact,Exclaim
ContactBtn,ExclaimHop
Name,Poet
MoneyName,ScantPoet
RecordPanel,MosaicSully
RecordPanel_OpenBtn,MosaicSully_WindHop
RecordPanel_CloseBtn,MosaicSully_ArgonHop
RecordPanel_Loading,MosaicSully_Pacific
Scroll,Canada
Rect,Ware
RecordScrollRect,MosaicCanadaWare
Items,Third
RecordItems,MosaicThird
Page,Male
PageText,MalePlot
Up,ID
PageUpBtn,MaleIDHop
Down,Vote
PageDownBtn,MaleVoteHop
No,To
Tip,Bed
NoRecordTip,ToMosaicTip
State,Mouth
Sprites,Visible
StateSprites,MouthVisible
Colors,Radium
StateTextColors,MouthPlotRadium
PageCount,MaleKnife
AccountPanel,FacultySully
AccountPanel_OpenBtn,FacultySully_WindHop
AccountPanel_CloseBtn,FacultySully_ArgonHop
Input,Tower
AccountInput,FacultyTower
Confirm,Linkage
ConfirmAccountInput,LinkageFacultyTower
Error,Lomas
AccountErrorText,FacultyLomasPlot
ConfirmBtn,LinkageHop
ConfirmAccountPanel,LinkageFacultySully
ConfirmAccountPanel_CloseBtn,LinkageFacultySully_ArgonHop
Policy,Opaque
PolicyBtn,OpaqueHop
Toggle,Clever
PolicyToggle,OpaqueClever
Sbmit,Flood
SbmitBtn,FloodHop
SbmitBtn_Loading,FloodHop_Pacific
Confirm_AccountText,Linkage_FacultyPlot
Edit,Like
EditBtn,LikeHop
Guide,Quiet
GuidePanel,QuietSully
Title,Vowel
GuideTitleText,QuietVowelPlot
GuideText,QuietPlot
GuideItems,QuietThird
GuideItems1,QuietThird1
GuideItems2,QuietThird2
Step,Lime
GuideStep,QuietLime
Go,ID
GuideStep2Go,QuietLime2Go
Points,Unsure
GuideStepPoints,QuietLimeUnsure
Next,Hail
GuideNextBtn,QuietHailHop
Need,Heed
Delete,Regain
NeedDelete,HeedRegain
Test,Span
isTest,IfSpan
Keys,Doom
dir,Lop
color,Hurry
color1,Hurry1
color2,Hurry2
range,Nerve
Flip,Tube
CHANNEL,CHANNEL
ID,ID
CHANNEL_ID,CHANNEL_ID
url,Ant
Scheme,Person
urlScheme,AntPerson
Long,Bony
isLong,IfBony
pool,Road
Dic,See
poolDic,RoadSee
hold,Cyan
holdTime,CyanSign
Holding,Masonry
isHolding,IfMasonry
